Ref,Val,Package,PosX,PosY,Rot,Side
"C20","1uF","C_0805_2012Metric",-99.999800,-86.283800,90.000000,bottom
"C21","1uF","C_0805_2012Metric",-104.140000,-86.294000,90.000000,bottom
"C26","NC","C_0805_2012Metric",-124.856200,-120.319800,180.000000,bottom
"C27","NC","C_0805_2012Metric",-117.983000,-85.801200,0.000000,bottom
"C28","NC","C_0805_2012Metric",-91.760000,-74.904600,180.000000,bottom
"C29","NC","C_0805_2012Metric",-214.492800,-96.316800,180.000000,bottom
"C30","NC","C_0805_2012Metric",-207.746600,-111.343400,90.000000,bottom
"C31","NC","C_0805_2012Metric",-139.014200,-59.385200,0.000000,bottom
"C32","NC","C_0805_2012Metric",-104.825800,-64.160400,-90.000000,bottom
"C33","NC","C_0805_2012Metric",-75.768200,-86.436200,-90.000000,bottom
"C34","NC","C_0805_2012Metric",-93.868200,-105.410000,180.000000,bottom
"C35","NC","C_0805_2012Metric",-132.943600,-96.469200,-90.000000,bottom
"C36","NC","C_0805_2012Metric",-138.038800,-77.673200,180.000000,bottom
"C37","NC","C_0805_2012Metric",-180.111400,-78.663800,180.000000,bottom
"R2","3k","R_0805_2012Metric",-97.917000,-86.281500,90.000000,bottom
"R7","150","R_0805_2012Metric",-204.165200,-78.920100,-90.000000,bottom
"R12","150k","R_0805_2012Metric",-102.082600,-86.281900,90.000000,bottom
"R13","2k2","R_0805_2012Metric",-162.560000,-96.850200,-90.000000,bottom
"R14","2k2","R_0805_2012Metric",-160.655000,-96.852100,-90.000000,bottom
"R15","2k2","R_0805_2012Metric",-158.775400,-96.850200,-90.000000,bottom
"R16","NC","R_0805_2012Metric",-156.895800,-96.852100,-90.000000,bottom
"R17","NC","R_0805_2012Metric",-148.818600,-82.423000,-90.000000,bottom
"R18","2k2","R_0805_2012Metric",-155.194000,-84.328000,-90.000000,bottom
"R19","NC","R_0805_2012Metric",-157.226000,-84.329900,-90.000000,bottom
"R20","NC","R_0805_2012Metric",-159.258000,-84.328000,-90.000000,bottom
"R21","NC","R_0805_2012Metric",-161.290000,-84.328000,-90.000000,bottom
"R22","2k2","R_0805_2012Metric",-164.465000,-96.850200,-90.000000,bottom
"R23","NC","R_0805_2012Metric",-142.722600,-82.423000,-90.000000,bottom
"R24","NC","R_0805_2012Metric",-144.754600,-82.423000,-90.000000,bottom
"R25","NC","R_0805_2012Metric",-146.786600,-82.423000,-90.000000,bottom
"R48","0R","R_0805_2012Metric",-110.337600,-117.984900,90.000000,bottom
"R49","NC","R_0805_2012Metric",-107.137200,-118.012200,90.000000,bottom
"U9","NRF24L01_Breakout","NRF24L01-SMD",-81.760923,-117.955923,-90.000000,bottom
