"Source:",""
"Date:","Tuesday, 12 April 2022 at 13.07.29"
"Tool:","Eeschema (6.0.4-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","93"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","18pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C2","18pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C3","100nF","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C4","100nF","Device:C_Small","Capacitor_SMD:C_0603_1608Metric","~"
"","","C5","100nF","Device:C_Small","Capacitor_SMD:C_0603_1608Metric","~"
"","","C6","100nF","Device:C_Small","Capacitor_SMD:C_0603_1608Metric","~"
"","","C7","100nF","Device:C_Small","Capacitor_SMD:C_0603_1608Metric","~"
"","","C8","100nF","Device:C_Small","Capacitor_SMD:C_0603_1608Metric","~"
"","","C9","100nF","Device:C_Small","Capacitor_SMD:C_0603_1608Metric","~"
"","","C10","100nF","Device:C_Small","Capacitor_SMD:C_0603_1608Metric","~"
"","","C11","100nF","Device:C_Small","Capacitor_SMD:C_0603_1608Metric","~"
"","","C12","470uF","Device:CP","Capacitor_SMD:CP_Elec_6.3x7.7",""
"","","C13","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C14","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C15","100nF","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C16","100nF","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C17","100nF","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C18","100nF","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"","","C19","C_Small","Device:C_Small","Capacitor_SMD:C_0603_1608Metric","~"
"","","C20","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C21","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","D-3v3","3v3","Device:LED_Small_ALT","LED_SMD:LED_0805_2012Metric",""
"","","D-5V1","5v","Device:LED_Small_ALT","LED_SMD:LED_0805_2012Metric",""
"","","DCTRL3","RED","Device:LED_Small","LED_SMD:LED_0805_2012Metric","~"
"","","DCTRL4","RED","Device:LED_Small","LED_SMD:LED_0805_2012Metric","~"
"","","DCTRL5","RED","Device:LED_Small","LED_SMD:LED_0805_2012Metric","~"
"","","DCTRL6","RED","Device:LED_Small","LED_SMD:LED_0805_2012Metric","~"
"","","DCTRL7","RED","Device:LED_Small","LED_SMD:LED_0805_2012Metric","~"
"","","DVB0","RED","Device:LED_Small","LED_SMD:LED_0805_2012Metric","~"
"","","DVB1","RED","Device:LED_Small","LED_SMD:LED_0805_2012Metric","~"
"","","DVEN1","RED","Device:LED_Small","LED_SMD:LED_0805_2012Metric","~"
"","","H1","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_4.3mm_M4_ISO14580_Pad","~"
"","","H2","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_4.3mm_M4_ISO14580_Pad","~"
"","","H3","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_4.3mm_M4_ISO14580_Pad","~"
"","","H4","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_4.3mm_M4_ISO14580_Pad","~"
"","","J1","JMP","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"","","J2","PORTAB","Connector:Conn_01x16_Male","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical","~"
"","","J3","CA","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"","","J4","CB","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"","","J5","W27c512?","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"","","J6","DB15_Female_HighDensity","Connector:DB15_Female_HighDensity","Connector_Dsub:DSUB-15-HD_Female_Horizontal_P2.29x2.54mm_EdgePinOffset9.40mm-Mountingholes"," ~"
"","","J7","Conn_01x12_Male","Connector:Conn_01x12_Male","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical","~"
"","","J8","Barrel_Jack_MountingPin","Connector:Barrel_Jack_MountingPin","Connector_BarrelJack:BarrelJack_Horizontal","~"
"","","J9","USB_B_Micro","6502-rescue:USB_B_Micro-Connector","Connector_USB:USB-B-MICRO-SMD_V03-fixed",""
"","","J10","JMP","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"","","J11","Conn_01x04_Male","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"","","J12","Control_bus","Connector:Conn_01x08_Male","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"","","J13","EzRST","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"","","J14","Power","Connector_Generic:Conn_02x06_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","~"
"","","J15","Data_bus","Connector_Generic:Conn_02x04_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~"
"","","J16","Address bus","Connector:Conn_01x16_Male","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","~"
"","","J17","JMP","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"","","J18","JMP","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"","","J19","JMP","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"","","J20","Interface","Connector_Generic:Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~"
"","","R1","Pull","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R2","Pull","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"","","R3","Pull","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
