Comment,Designator,Footprint,LCSC
"3v3","3v3","LED_SMD:LED_0805_2012Metric","C84256"
"5v","5V0","LED_SMD:LED_0805_2012Metric","C84256"
"18pF","C1,C2","Capacitor_SMD:C_0805_2012Metric",""
"220uF","C12","Capacitor_SMD:CP_Elec_6.3x7.7","C131120"
"1uF","C13,C14,C20,C21","Capacitor_SMD:C_0805_2012Metric",""
"10uF","C22","Capacitor_SMD:C_0805_2012Metric",""
"NC","C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37","Capacitor_SMD:C_0805_2012Metric",""
"100nF","C3,C4,C5,C6,C7,C8,C9,C10,C11,C15,C16,C17,C18,C19,C23,C24,C25","Capacitor_SMD:C_0603_1608Metric",""
"RED","DVB0,DVB1,DVEN1,DCTRL3,DCTRL4,DCTRL5,DCTRL6,DCTRL7","LED_SMD:LED_0805_2012Metric","C84256"
"MountingHole_Pad","H1,H2,H3,H4","MountingHole:MountingHole_4.3mm_M4_ISO14580_Pad",""
"5V","J1,J8","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"JMP","J10","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"GPCO","J11","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"Control_bus","J12","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"Power","J14","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical",""
"Data_bus","J15","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical",""
"Address bus","J16","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical",""
"USB_A","J17","Connector_USB:USB_A_Molex_67643_Horizontal",""
"PORTAB","J2","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical",""
"Interface","J20","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical",""
"CA","J3","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"CB","J4","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"W27c512?","J5","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"DB15_Female_HighDensity","J6","Connector_Dsub:DSUB-15-HD_Female_Horizontal_P2.29x2.54mm_EdgePinOffset9.40mm-Mountingholes",""
"Conn_01x12_Male","J7","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical",""
"USB_B_Micro","J9","Connector_USB:USB_Micro-B_Amphenol_10118194_Horizontal","C132563"
"3k","R1,R2,R3,R4,R8,R9,R10,R11","Resistor_SMD:R_0805_2012Metric",""
"150k","R12","Resistor_SMD:R_0805_2012Metric",""
"2k2","R13,R14,R15,R18,R22","Resistor_SMD:R_0805_2012Metric",""
"0R","R26,R28","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"NC","R27,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"0R","R48","Resistor_SMD:R_0805_2012Metric",""
"NC","R16,R17,R19,R20,R21,R23,R24,R25,R49","Resistor_SMD:R_0805_2012Metric",""
"1M","R5","Resistor_SMD:R_0805_2012Metric",""
"470","R6","Resistor_SMD:R_0805_2012Metric",""
"150","R7","Resistor_SMD:R_0805_2012Metric",""
"R_Network08","RN1","Resistor_THT:R_Array_SIP9",""
"SW_Push","SW1","Button_Switch_SMD:SW_SPST_TL3342","C318884"
"74HC14","U1","Package_DIP:DIP-14_W7.62mm",""
"74HC245","U10,U11","Package_DIP:DIP-20_W7.62mm",""
"74HC109","U12","Package_DIP:DIP-16_W7.62mm",""
"74HC74","U13","Package_DIP:DIP-14_W7.62mm",""
"74HC04","U14","Package_DIP:DIP-14_W7.62mm",""
"MIC5504-3.3YM5","U15","Package_TO_SOT_SMD:SOT-23-5","C3021093"
"62256","U16","Package_DIP:DIP-28_W15.24mm",""
"74HC00","U17,U21","Package_DIP:DIP-14_W7.62mm",""
"w27C512","U18","Package_DIP:DIP-28_W15.24mm",""
"74LS161","U19","Package_DIP:DIP-16_W7.62mm",""
"R6502","U2","Package_DIP:DIP-40_W15.24mm",""
"74HC165","U20","Package_DIP:DIP-16_W7.62mm",""
"R6522","U3","Package_DIP:DIP-40_W15.24mm",""
"74HC273","U4","Package_DIP:DIP-20_W7.62mm",""
"SST39SF010","U5","Socket:DIP_Socket-32_W11.9_W12.7_W15.24_W17.78_W18.5_3M_232-1285-00-0602J",""
"74HC590","U6,U7","Package_DIP:DIP-16_W7.62mm",""
"74HC32","U8","Package_DIP:DIP-14_W7.62mm",""
"NRF24L01_Breakout","U9","mysensors_radios:NRF24L01-SMD",""
"16Mhz","Y1","Crystal:Crystal_HC49-U_Vertical",""
