Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
3v3,3v3,LED_0805_2012Metric,130.147923,-117.623423,-90.0,top
5V0,5v,LED_0805_2012Metric,132.179923,-117.618823,-90.0,top
C1,14pF,C_0805_2012Metric,196.65,-79.5,0.0,top
C10,100nF,C_0603_1608Metric,74.775923,-96.518423,90.0,top
C11,100nF,C_0603_1608Metric,168.755923,-98.753423,180.0,top
C12,220uF,CP_Elec_6.3x7.7,177.5,-70.25,180.0,top
C13,1uF,C_0805_2012Metric,132.179923,-121.209423,-90.0,top
C14,1uF,C_0805_2012Metric,128.115923,-117.623423,90.0,top
C15,100nF,C_0603_1608Metric,132.078423,-103.985923,180.0,top
C16,100nF,C_0603_1608Metric,220.472,-74.93,0.0,top
C17,100nF,C_0603_1608Metric,134.465923,-71.981923,90.0,top
C18,100nF,C_0603_1608Metric,209.548323,-124.305923,0.0,top
C19,100nF,C_0603_1608Metric,185.8625,-96.35,0.0,top
C2,14pF,C_0805_2012Metric,196.65,-77.55,0.0,top
C20,1uF,C_0805_2012Metric,111.6,-99.15,90.0,top
C21,1uF,C_0805_2012Metric,116.85,-99.15,90.0,top
C22,10uF,C_0805_2012Metric,86.1568,-61.148,-90.0,top
C23,100nF,C_0603_1608Metric,216.408,-74.5744,90.0,top
C24,100nF,C_0603_1608Metric,182.15,-65.3,90.0,top
C25,100nF,C_0603_1608Metric,78.245,-79.756,0.0,top
C26,NC,C_0805_2012Metric,124.8562,-120.3198,0.0,bottom
C27,NC,C_0805_2012Metric,117.983,-85.8012,180.0,bottom
C28,NC,C_0805_2012Metric,91.76,-74.9046,0.0,bottom
C29,NC,C_0805_2012Metric,214.4928,-96.3168,0.0,bottom
C3,100nF,C_0603_1608Metric,88.898323,-75.919023,-90.0,top
C30,NC,C_0805_2012Metric,207.7466,-111.3434,90.0,bottom
C31,NC,C_0805_2012Metric,139.0142,-59.3852,180.0,bottom
C32,NC,C_0805_2012Metric,104.8258,-64.1604,270.0,bottom
C33,NC,C_0805_2012Metric,75.7682,-86.4362,270.0,bottom
C34,NC,C_0805_2012Metric,93.8682,-105.41,0.0,bottom
C35,NC,C_0805_2012Metric,132.9436,-96.4692,270.0,bottom
C36,NC,C_0805_2012Metric,138.0388,-77.6732,0.0,bottom
C37,NC,C_0805_2012Metric,180.1114,-78.6638,0.0,bottom
C4,100nF,C_0603_1608Metric,134.465923,-75.309423,-90.0,top
C5,100nF,C_0603_1608Metric,85.344,-80.01,180.0,top
C6,100nF,C_0603_1608Metric,117.955923,-67.155923,0.0,top
C7,100nF,C_0603_1608Metric,207.264,-97.0788,90.0,top
C8,100nF,C_0603_1608Metric,188.923423,-96.365923,180.0,top
C9,100nF,C_0603_1608Metric,105.255923,-64.133423,-90.0,top
DCTRL3,RED,LED_0805_2012Metric,95.730923,-61.138423,90.0,top
DCTRL4,RED,LED_0805_2012Metric,93.825923,-61.138423,90.0,top
DCTRL5,RED,LED_0805_2012Metric,91.920923,-61.138423,90.0,top
DCTRL6,RED,LED_0805_2012Metric,90.015923,-61.138423,90.0,top
DCTRL7,RED,LED_0805_2012Metric,88.110923,-61.138423,90.0,top
DVB0,RED,LED_0805_2012Metric,99.540923,-61.138423,90.0,top
DVB1,RED,LED_0805_2012Metric,97.635923,-61.138423,90.0,top
DVEN1,RED,LED_0805_2012Metric,101.445923,-61.138423,90.0,top
J10,USB,PinHeader_1x02_P2.54mm_Vertical,176.77,-64.9,90.0,top
J11,GPCO,PinHeader_1x05_P2.54mm_Vertical,220.825923,-86.205923,180.0,top
J12,Control_bus,PinHeader_1x08_P2.54mm_Vertical,95.095923,-56.995923,90.0,top
J14,Power,PinHeader_2x06_P2.54mm_Vertical,134.465923,-128.115923,90.0,top
J15,Data_bus,PinHeader_2x04_P2.54mm_Vertical,185.275923,-128.115923,90.0,top
J16,Address bus,PinHeader_2x08_P2.54mm_Vertical,203.045923,-128.115923,90.0,top
J17,USB_A,USB_A_Molex_67643_Horizontal,83.385,-70.81,-90.0,top
J2,PORTAB,PinHeader_1x16_P2.54mm_Vertical,96.365923,-129.385923,90.0,top
J20,Interface,PinHeader_2x05_P2.54mm_Vertical,166.220923,-128.120923,90.0,top
J3,CA,PinHeader_1x02_P2.54mm_Vertical,119.225923,-129.385923,90.0,top
J4,CB,PinHeader_1x02_P2.54mm_Vertical,124.305923,-129.385923,90.0,top
J5,W27c512?,PinHeader_1x02_P2.54mm_Vertical,194.785923,-97.254923,90.0,top
J6,DB15_Female_HighDensity,DSUB-15-HD_Female_Horizontal_P2.29x1.98mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm,200.3702,-66.101131,180.0,top
J7,Conn_01x12_Male,PinHeader_1x12_P2.54mm_Vertical,199.235923,-74.775923,90.0,top
J8,5V,PinHeader_1x02_P2.54mm_Vertical,220.726,-71.12,0.0,top
J9,USB2.0_16P,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,177.0,-59.72,180.0,top
R1,3k,R_0805_2012Metric,74.521923,-93.190923,90.0,top
R10,3k,R_0805_2012Metric,128.369923,-113.988923,90.0,top
R11,3k,R_0805_2012Metric,130.274923,-113.988923,90.0,top
R12,150k,R_0805_2012Metric,114.25,-99.15,90.0,top
R13,2k2,R_0805_2012Metric,162.56,-96.8502,270.0,bottom
R14,2k2,R_0805_2012Metric,160.655,-96.8521,270.0,bottom
R15,2k2,R_0805_2012Metric,158.7754,-96.8502,270.0,bottom
R16,NC,R_0805_2012Metric,156.8958,-96.8521,270.0,bottom
R17,2k2,R_0805_2012Metric,148.8,-83.5375,-90.0,top
R18,2k2,R_0805_2012Metric,155.194,-84.328,270.0,bottom
R19,NC,R_0805_2012Metric,157.226,-84.3299,270.0,bottom
R2,3k,R_0805_2012Metric,108.5,-99.1,90.0,top
R20,NC,R_0805_2012Metric,159.258,-84.328,270.0,bottom
R21,NC,R_0805_2012Metric,161.29,-84.328,270.0,bottom
R22,2k2,R_0805_2012Metric,164.5,-104.0,-90.0,top
R23,2k2,R_0805_2012Metric,142.75,-83.5375,-90.0,top
R24,2k2,R_0805_2012Metric,144.75,-83.5375,-90.0,top
R25,2k2,R_0805_2012Metric,146.7866,-83.5375,-90.0,top
R3,3k,R_0805_2012Metric,74.648923,-104.112923,90.0,top
R4,3k,R_0805_2012Metric,74.521923,-99.716423,-90.0,top
R5,1M,R_0805_2012Metric,201.2,-97.3,90.0,top
R50,3k,R_0805_2012Metric,88.85,-64.7875,90.0,top
R51,3k,R_0805_2012Metric,90.85,-64.7875,90.0,top
R52,3k,R_0805_2012Metric,92.85,-64.7875,90.0,top
R53,3k,R_0805_2012Metric,94.85,-64.8,90.0,top
R54,3k,R_0805_2012Metric,96.85,-64.7875,90.0,top
R55,3k,R_0805_2012Metric,98.85,-64.8,90.0,top
R56,3k,R_0805_2012Metric,100.85,-64.8,90.0,top
R57,3k,R_0805_2012Metric,102.85,-64.8,90.0,top
R58,5k1,R_0805_2012Metric,183.5,-62.0875,90.0,top
R59,5k1,R_0805_2012Metric,183.5,-58.65,-90.0,top
R6,470,R_0805_2012Metric,199.2,-97.2875,90.0,top
R7,150,R_0805_2012Metric,198.0625,-72.3,180.0,top
R8,3k,R_0805_2012Metric,203.5,-97.282,90.0,top
R9,3k,R_0805_2012Metric,205.5,-97.282,90.0,top
SW1,SW_Push,SW_SPST_TL3342,147.165923,-127.607923,180.0,top
U1,74HC14,DIP-14_W7.62mm,101.440923,-86.195923,90.0,top
U10,74HC245,DIP-20_W7.62mm,147.165923,-117.955923,90.0,top
U11,74HC245,DIP-20_W7.62mm,147.165923,-107.785923,90.0,top
U12,74HC109,DIP-16_W7.62mm,100.190923,-76.035923,90.0,top
U13,74HC74,DIP-14_W7.62mm,204.226,-86.101,0.0,top
U14,74HC04,DIP-14_W7.62mm,189.085923,-86.200923,0.0,top
U15,MIC5504-3.3YM5,SOT-23-5,129.131923,-121.257923,0.0,top
U16,62256,DIP-28_W15.24mm,153.525923,-82.400923,90.0,top
U17,74HC00,DIP-14_W7.62mm,137.000923,-96.355923,90.0,top
U18,w27C512,DIP-28_W15.24mm,153.525923,-64.620923,90.0,top
U19,74LS161,DIP-16_W7.62mm,214.376,-87.376,0.0,top
U2,R6502,DIP-40_W15.24mm,101.445923,-100.175923,90.0,top
U20,74HC165,DIP-16_W7.62mm,178.925923,-87.490923,0.0,top
U21,74HC00,DIP-14_W7.62mm,81.529,-86.096,90.0,top
U3,R6522,DIP-40_W15.24mm,101.445923,-117.955923,90.0,top
U4,74HC273,DIP-20_W7.62mm,120.495923,-60.805923,90.0,top
U5,SST39SF010,DIP_Socket-32_W11.9_W12.7_W15.24_W17.78_W18.5_3M_232-1285-00-0602J,192.885923,-111.605923,-90.0,top
U6,74HC590,DIP-16_W7.62mm,123.050923,-76.035923,90.0,top
